,CPEB1,SIAH2,NOS2,CS,NDRG1,PDSS2,PIR,PARP3,DHODH,GSTZ1,ALOX15,MAP1LC3A,MPC1,DPEP1,GRIA3,CHAC1,FLT3,MTF1,CHMP6,CISD1,BRD4,IL6,HCAR1,PARP12,NR1D1,TSC1,IFNG,GJA1,SLC7A11
TCGA-AN-A0AK,0.137503523749935,6.21848477275688,0.177216200836063,7.72047342933846,5.32375555294465,4.62136033187932,5.95861303187235,3.86035699692408,2.76398513888087,3.83870978522697,2.27273987811746,6.6281042837196,5.52218132648105,0.705137466719021,0.251082803316987,3.67991917497906,0.329755085744747,3.70393125078188,4.75218124813748,2.33015679879996,4.75045107983601,0.308244364393713,1.94200771368796,3.71389373198911,4.91530577113838,2.91180660944931,0.859253984823259,11.5400408347689,4.22692463182788
TCGA-B6-A0I8,0.283210617984531,5.71227111002159,0.778040322267523,6.55173901828238,6.60447020454776,4.90839502276141,4.02431967919541,4.08610437124329,2.94658115638995,2.38827221072081,0.519340607655982,5.38727292110135,5.42404196388871,0.619366054747036,0.514400039036616,1.64196213110672,0.873183234901279,3.66339016545189,4.94101707900148,4.23700531542855,4.14440536669923,0.0713508041288431,5.82346150578154,4.38793459717021,5.60779486073718,3.39791246017691,0.0,5.5211072874275,0.636172166835885
TCGA-BH-A202,0.406754336928712,6.76027018890704,0.139338513601429,6.65817291514113,7.96662541915895,4.82997637345536,5.76028216654384,3.94125658385328,2.54087041401895,2.71371780697819,0.706641057309409,5.04492738077677,6.33647978099948,2.19159423299607,0.0866479127551883,2.48782074417823,0.725959234509188,4.33197745149716,4.13154832972926,4.80243106103364,4.50618299511114,0.0904469802326514,4.60241530814761,4.49723551690241,5.84707238387658,3.29604619904213,2.12131385871664,6.28435866203973,2.69055118953664
TCGA-A7-A26G,0.378844514469503,6.01476144016114,0.762221231959501,6.67047213886299,4.59800782246209,4.31749944420757,3.94405255989951,4.57319878423954,2.24187068419449,1.53684865042083,0.249020510285965,4.98884825866896,5.54772743362113,1.78228274301289,1.01671024793567,2.02467428041162,1.68665739423194,3.89828575861674,3.6352784439396,5.70206460908395,5.38299918656986,0.975336702062573,3.10852445677817,4.12314470600227,3.80754039949671,3.32876467228402,1.03815520102597,7.36739378232473,3.77002556355428
TCGA-BH-A0C1,0.881977789135628,6.25856603388993,0.911883289405794,7.52941571715198,4.64355030600123,5.13560874278658,3.18651640438348,5.3827779058392,2.79968830380854,2.90012293410792,1.05900910004046,4.44606429897559,6.13060968620825,0.934176781921816,1.61908428754308,0.654343880053038,1.62344550716235,3.75378635916132,3.99759952354512,4.47596035391194,5.25663706877992,1.63617216683588,5.30292948963052,4.69530346978517,4.36927802061052,3.17093453467551,0.598936833822527,8.06136471165677,2.35842439536099
TCGA-AO-A1KO,0.687150293944771,5.16357521241464,0.849599011151452,6.11485422708844,5.17667382827591,4.25460915920543,2.80099305748919,4.31143045574974,2.9333271326149,2.85511265478514,1.02977089740652,3.43486837884537,5.60327916631154,0.337654011076595,1.55660108165385,1.24385184325508,1.15335138308106,3.95917663672489,2.84977913663453,3.92037905892605,4.33794652759698,1.88498857765124,4.97536880480699,3.40960817268175,3.3708338481764,3.35061039519924,0.136585152847626,6.99223026496589,0.767654798237347
TCGA-BH-A18Q,1.91861521548657,5.27053641746519,1.61372022818006,6.57318363304698,6.24903568496887,4.77833475411992,4.45721341001392,5.68505150199515,3.668516287811,3.19926401417392,1.6478210334013,5.68953958967417,6.25890140678168,0.465086378886066,1.28427721805513,1.6136730866753,0.844064214792387,4.5559142942434,4.50922077633196,4.56349374376253,4.97308773294024,3.84883823329902,5.95441735156381,4.55090681947672,6.89042237192466,4.23757901398554,0.43722773891291,8.24669310157826,1.38559669601225
TCGA-BH-A0HP,0.705314441086378,7.2033763916105,0.584577730738641,6.78917626878617,5.40278015085024,4.16352288434144,5.02483825400175,6.07932903902419,2.03012416145513,3.01556893165097,0.502941568004458,5.27077186280291,5.96875893843872,1.93708069010659,0.255440304865444,1.64034328200587,0.46194758214236,3.92090302922463,4.30558390276898,3.71011763204345,4.59956774395777,0.793604609736322,4.4906856441078,4.92189804881988,4.06834406084368,3.16705278409711,0.720803782040037,6.38924671270748,2.63786523968547
TCGA-A8-A09X,0.338224719989013,4.44962740033535,1.05658352836637,8.11282000488603,6.42614564356674,4.17422263419487,3.07872937123654,4.15927395754716,2.42575468862414,4.37183064911884,0.536351357995484,3.46343936210694,7.13761110708178,1.88764224127319,0.025879273023259,2.72362408738936,1.30264075142857,3.68041438180682,4.73727033130687,5.7760539667575,4.57957842762046,0.6992851001996,4.53301506976297,4.4776838028427,2.33888075625889,2.85043940439746,1.62419449710923,5.57644353127139,1.56769146201975
TCGA-A8-A08Z,0.648281355360752,6.68706628885325,0.985791854412711,6.73758536904636,6.62906659465372,4.21295058327867,3.12982701649835,5.48104378622172,2.81974992027679,3.19624506603131,1.11809388938682,6.04108524455938,5.99570158518629,3.58547937384324,0.825704231936496,2.50594172795679,1.33456827566613,4.70943401572012,4.58233319901367,5.17877040412474,4.98372329116592,1.47601869975782,4.48523359614454,4.85861763038128,4.59189479991796,3.94354630834475,0.0,7.57130516803116,1.44932365699078
TCGA-E2-A15T,0.15678490755436,6.94610504199396,0.638954249797834,6.76750649597078,8.86367151228456,4.92423768589803,4.07350321677425,4.80629827633336,2.28338843943231,3.5528565780564,0.603596674860207,6.23250727043012,4.57563302841811,1.10306115633355,0.107687869314373,1.50512874161279,0.640713464839609,4.69822959293538,5.26586816979259,4.68879580702463,5.35659810309618,3.07234594375766,4.53223590677279,4.54987859886995,7.0951438036357,3.65918247535313,0.0,4.85557615845808,1.36193675757209
TCGA-D8-A4Z1,0.977096712496954,6.33441095498087,0.650672664786422,6.62204596078442,6.26833520113943,4.75586499757737,3.02073331278267,5.99879349276165,3.42600974420491,4.45196935793231,3.98209916872164,5.73917573222439,6.18385567646683,2.73437362958302,1.87684105610537,1.84955898021204,1.95706024053702,4.22035317403349,5.14258089841678,4.34203554353532,5.24667030250368,2.07498488495381,5.73272505818609,4.75341199295508,4.88930804170467,3.99990081130629,0.53605290024021,6.75320738751216,1.08317932194658
TCGA-E2-A15S,0.793438141722419,5.5113162219187,0.341302652973009,7.01302670562445,5.0906163484066,4.10929368902294,4.13091440061098,5.12398065513358,2.26026658699757,2.41643443356885,0.144699025154139,6.26739346910755,4.23738780648049,0.675183625787811,0.268673924548358,3.57896285841503,2.73770839085853,4.32386001214648,5.13936307352677,5.04120793090616,4.62953148160832,0.229833990460998,5.8260577604174,5.15642088784439,4.41150759841622,3.40710797532684,0.0,4.48796862486451,2.09440499380133
TCGA-AN-A0XS,0.896930551752872,6.48054303384589,1.15257284546758,6.38051474576621,4.97508902830618,4.47517569722432,2.84504839321384,5.08275367536063,2.35980226054848,4.19747227572393,4.34267562869992,4.72258077973982,6.02459893494549,2.66352679508257,0.429964043516947,2.72713628644581,0.924251940345866,3.62678954637581,4.89343987731612,4.50575122538281,4.85724453523543,1.94084329568946,6.01051132213351,4.65894264384042,3.94525185444722,3.18558114883453,0.668482249541329,8.38652472379768,0.890563426598291
TCGA-BH-A0BT,0.338452940355049,7.6882545060581,0.247076831930818,6.16552408716373,3.38079870063561,3.63686819070199,1.65544342538989,6.42857624669425,3.0493345318093,5.80530019536021,4.90103581674672,3.72588291095703,5.76939091904023,1.24659050290518,0.4743581628754,1.26459647949088,1.31161936340684,2.87907837116873,5.176972956008,3.8914677943507,4.81516551408758,1.41910736678436,3.96921497074528,6.06720200495117,3.58292927313785,2.27587121334764,1.23725777090037,6.24036585323654,0.442651610775224
TCGA-A2-A04Y,0.17951105027151,5.93070895639768,0.432211149171219,5.72541397767482,3.62093824438629,3.1752211800785,3.8382963058635,4.41804823567326,2.70128289341469,3.08033361743118,2.22539833734074,5.17591576032637,5.42939167630944,0.303225477672089,0.235972082773581,0.832120371553323,0.692159346176776,2.44665324728625,3.56329238511567,4.26191437972007,4.15719735222071,2.63907005357543,4.04950879559664,4.670358828565,3.39643353125099,3.29238421725813,0.276794404789259,4.87861254989934,0.249991368358195
TCGA-A8-A0A9,0.207143204941749,6.92208721532966,0.512176309114142,6.89587090990795,4.5327096880155,4.61725145811616,3.68912021051819,4.95429403803117,3.05561215668669,2.10527578341569,0.257493447876156,6.49779596386208,5.78705889104044,0.717824454487637,0.634872023164214,1.27798474729977,4.31525464641953,3.99058279672209,4.71023888498379,4.30516799015635,5.68421842461253,0.641268561053033,5.01766362465525,4.89838251041178,5.64087538996563,3.43724105767566,0.448160917766045,8.274117664159,1.80912628806282
TCGA-A2-A3XY,0.446256229889564,4.90032584684168,1.03428615771194,6.33939931293328,7.15998937063496,4.82533789521925,4.81989805638894,4.9442540735835,3.24592153269824,3.30227517714312,0.244034582393693,6.9418469578513,6.61312495361398,1.65113207791672,1.3743439890385,4.09087036339213,1.59493066981239,3.491057791892,5.16854977842219,5.11268345409757,5.2854835993641,4.87834279514035,1.50227967617758,5.71461370141511,5.29085195861743,2.70977586437295,0.481918877834791,6.67509327382029,2.51740168727463
TCGA-BH-A1FR,0.290070469601541,6.48503711806665,1.14149818813431,6.56121308730536,5.8939810000395,4.27154519848569,2.88217348575438,5.31249455490768,3.12849137851042,4.2337193678563,0.147957881387101,5.19898125599862,5.37198394199945,1.94140684110914,4.52052911086795,0.919912088677308,5.01337739289628,4.16283841940204,4.58615823969426,5.1774275114113,4.87757249031538,1.60112598060183,6.79421569477365,4.00817311636353,4.53977919169849,3.29344405918709,0.612399683428007,5.24872457206237,1.96077116431285
TCGA-E2-A1IK,0.177726482932068,5.89160874685368,0.441377238922713,6.43905957863048,5.30402908949208,4.33985712728699,4.09557003032482,5.33590838126049,2.76428245290101,4.56149111120609,0.550703696247888,5.70022884730187,5.50891031562908,0.909120240124133,3.37916346315601,1.14528616280352,1.01149563883783,3.56025028294239,4.10064972522292,4.67910846970249,3.97690431590013,1.80024762845358,6.16199849966713,4.96459732411536,3.28657069844704,2.28800412069465,0.809496764000886,4.85758793155879,2.41864873028911
TCGA-D8-A1X5,0.57840741375362,8.30601519424179,0.53784272132138,6.53717179860023,5.4784573893155,4.83627258242935,5.06084721761706,4.87027593561828,2.32780231537653,4.35442394960681,4.04287192911025,5.57033541446543,6.29608659076521,0.640250721454018,0.332736572463861,1.60876194042332,0.351289097598875,3.7151026360576,4.60593281236936,4.22400939428469,4.92787275617807,0.798174969072156,6.00095321628008,4.33832457084145,5.77535085214341,3.21454449393671,0.705933680467147,6.30945634469311,1.99852047919908
TCGA-C8-A8HP,0.975483451634553,5.05599384499268,0.409363779269573,5.93102111851142,5.50016786706054,3.64420239504157,2.54257998870265,4.64419085620441,2.65225702218969,2.43520185588707,2.0167815502334,6.88821599057667,5.26440131275335,3.00717755732444,0.276794404789259,2.78893622924483,0.86036693013812,2.9771333565589,3.63787682922649,5.05267672430358,4.03203911284096,2.28439568051288,4.45070319377911,5.18073268350362,5.18028712607826,3.27015513876653,1.59745966340406,4.92487424725747,0.571725343891
TCGA-BH-A0BF,0.501209824411169,5.941146228714,0.728921827287314,6.53464994359918,4.80063592080368,4.26870386312376,3.43405437121601,4.96447256727422,2.57218633471717,2.3268536939456,1.4001553460842,4.62917590756498,5.45276344064692,3.13361284218537,1.45853949501812,1.55861050893763,3.28495824438855,3.38907114435818,4.29850436123317,4.72814364671926,4.79320921683536,2.9465250134784,4.6866237813002,6.06477940415905,4.17159915893078,3.01346225980656,2.13451667836177,7.32432458386289,1.0394191831334
TCGA-AR-A24T,0.95969597875237,7.24284064908346,1.20031601615496,6.70270879028843,5.40839937911218,4.73800035668137,3.60403573042451,4.9921203411561,2.20335779222588,3.28086725583289,0.402722176845605,5.03054796416297,5.50719524237508,2.04166353172936,1.15497198831638,1.32267810132385,3.51044296194458,3.7151026360576,4.22870327027574,4.91521014767875,5.1359862569639,1.24135208577066,4.66755723582413,5.07730282509298,5.08855717704175,3.58716093477828,0.339023333372754,8.81034316316033,1.45901186447638
TCGA-BH-A1F5,0.480368537347213,7.88236976725856,0.232783534122453,6.63968510533001,5.72477576546513,3.85063942589333,2.82535824969968,4.91359793849976,1.94616939095989,2.68378626910085,2.17255152008151,3.60573136581573,5.89130495276343,0.239886800795721,0.37506724206761,0.808179083771471,2.49298116330852,3.9797418532182,1.93772102576179,5.14685884017986,4.82551598718673,0.712023430910812,5.344217778315,4.63813756928885,3.3975154892399,3.36439033308031,0.0,7.49935720097778,0.542307583510237
TCGA-BH-A0B4,0.229587922740652,8.18207945891878,1.02998286621571,6.30257678261536,5.84357438606771,3.141023991221,4.0781913787916,3.15583017155653,2.0959919129246,3.33853851368556,1.66229666233671,4.44373261659108,4.65554074059418,1.76782426787702,0.49702469417753,2.47269571251829,0.486250988884108,2.86801503679446,4.98419740902399,4.78704582728033,4.73434111020648,1.24458266097051,4.69204214532543,4.76049774700357,4.47446200244365,2.93954630521337,0.567253374550151,8.94255585027541,1.23137096356877
TCGA-BH-A18K,1.06391705369231,5.03482316774382,0.784168920502028,7.34815361709536,6.16122058395255,4.44022801188367,3.9655442002317,5.68999238227529,3.34249785574996,3.41260541096948,1.4109922872209,5.68193551664718,6.55350028068728,0.162210036314307,1.31161936340684,1.32711247074709,3.49080114852119,4.31253448874098,4.32994160928822,4.16365973836986,4.74505442854729,1.2255217342566,6.27946943841485,4.1434995433295,6.60817201019977,4.29807906866404,0.418243929912092,7.52162242348066,1.72844299661384
TCGA-EW-A424,0.942232976400716,7.10601847387511,0.454702328163688,6.42925775646558,5.16212542537742,4.16571903088037,3.23147849039005,5.64487437309716,2.77909158879384,2.91863429559953,1.15458320905307,6.456135889303,5.440912344025,2.21707557938081,0.783749983007175,1.40081114140935,1.11296696495818,2.65475630776546,5.02231454330504,4.54961988909773,4.92576211367192,0.858458497903629,5.06553353821256,4.42205803638433,5.1715911532316,3.3530550548214,0.0,6.44482274972315,1.34318038446328
TCGA-BH-A8G0,1.05720763639927,7.57985670541853,0.551688269438963,6.1440688095517,5.86952105123241,4.24191643393021,2.97559350401838,5.60256377419307,2.89762767427955,3.62764185457462,1.64038956005495,6.2066275967861,6.06004522135561,1.81835976482304,0.763751492016703,1.19566256285592,4.8570454274705,3.82552107520564,5.13686810619365,4.43249847273486,5.10194416498103,1.72722343728799,5.89022535869529,4.78203630997271,5.09500873524363,3.74516202169817,0.190298791626595,8.54177926491971,0.823912367487802
TCGA-AN-A0FX,0.563548654879954,6.84380676145315,1.38509966247936,6.04697336216789,8.75561634656337,4.2497335478987,3.63853727921519,3.67897330785417,3.01558677166334,2.41204983247852,0.788017448177458,6.32463961520818,5.66585320472624,1.43978268947598,0.528871328238121,2.85371626009001,0.990083536172477,3.61149110724077,4.63513911257131,4.73948630371537,5.42569763054619,0.796099327703432,4.56428670148297,3.80696328024986,5.06645089550988,3.91207497146824,0.255319440705788,6.65906684727965,2.12829340100982
